DATE,PRCP,SNOW,TMAX,TMIN,AVG_Temp
5/13/2000,14,0,22.2,12.8,17.5
5/14/2000,0,0,22.8,13.3,18.05
5/15/2000,0,0,18.9,11.1,15
5/16/2000,0,0,21.1,10.6,15.85
5/17/2000,0,0,21.1,15,18.05
5/18/2000,27.2,0,27.2,15,21.1
5/19/2000,14.5,0,17.2,8.3,12.75
5/20/2000,13.2,0,10.6,7.8,9.2
5/21/2000,0.8,0,12.8,10.6,11.7
5/22/2000,1.3,0,13.9,11.1,12.5
5/23/2000,2.3,0,17.2,11.1,14.15
5/24/2000,20.6,0,26.7,12.8,19.75
5/25/2000,3,0,23.9,15,19.45
5/26/2000,0,0,24.4,15,19.7
5/27/2000,0,0,19.4,13.9,16.65
5/28/2000,0,0,20,13.3,16.65
5/29/2000,0,0,18.3,11.7,15
5/30/2000,0,0,17.2,10,13.6
5/31/2000,0,0,20.6,10,15.3
6/1/2000,0,0,29.4,15,22.2
6/2/2000,1,0,32.2,20.6,26.4
6/3/2000,0,0,23.3,16.1,19.7
6/4/2000,0,0,23.3,15,19.15
6/5/2000,0,0,20,15.6,17.8
6/6/2000,66.5,0,15.6,10,12.8
6/7/2000,5.1,0,22.8,9.4,16.1
6/8/2000,0,0,26.1,15.6,20.85
6/9/2000,0,0,30.6,19.4,25
6/10/2000,0,0,33.3,22.8,28.05
6/11/2000,15,0,33.3,21.7,27.5
6/12/2000,13.7,0,21.7,13.3,17.5
6/13/2000,2,0,15.6,12.8,14.2
6/14/2000,0.3,0,16.1,11.7,13.9
6/15/2000,1.3,0,23.9,13.9,18.9
6/16/2000,0,0,30,19.4,24.7
6/17/2000,0,0,31.1,22.2,26.65
6/18/2000,10.2,0,22.8,16.7,19.75
6/19/2000,0,0,22.2,17.8,20
6/20/2000,0,0,27.8,17.2,22.5
6/21/2000,4.1,0,26.7,20,23.35
6/22/2000,1.3,0,28.9,20.6,24.75
6/23/2000,0,0,27.2,21.1,24.15
6/24/2000,0,0,28.3,19.4,23.85
6/25/2000,0,0,30,22.2,26.1
6/26/2000,0,0,31.1,23.3,27.2
6/27/2000,2.5,0,30,21.7,25.85
6/28/2000,0.3,0,27.2,18.9,23.05
6/29/2000,0.5,0,23.9,18.3,21.1
6/30/2000,0,0,25.6,17.8,21.7
7/1/2000,0,0,27.8,18.3,23.05
7/2/2000,0,0,30,20,25
7/3/2000,5.3,0,29.4,20.6,25
7/4/2000,0,0,28.9,21.1,25
7/5/2000,0,0,30,21.1,25.55
7/6/2000,0,0,26.1,17.8,21.95
7/7/2000,0,0,26.1,17.2,21.65
7/8/2000,0,0,26.1,14.4,20.25
7/9/2000,0,0,27.8,18.3,23.05
7/10/2000,2,0,31.7,21.7,26.7
7/11/2000,0,0,28.9,19.4,24.15
7/12/2000,0,0,28.3,18.9,23.6
7/13/2000,0,0,29.4,19.4,24.4
7/14/2000,15,0,25.6,18.3,21.95
7/15/2000,35.3,0,21.7,18.9,20.3
7/16/2000,0,0,25.6,18.9,22.25
7/17/2000,0,0,26.1,20.6,23.35
7/18/2000,0,0,30.6,20.6,25.6
7/19/2000,2.8,0,20.6,16.1,18.35
7/20/2000,0,0,25,17.2,21.1
7/21/2000,1.8,0,26.7,17.2,21.95
7/22/2000,1.8,0,26.7,17.8,22.25
7/23/2000,0,0,26.1,17.2,21.65
7/24/2000,0.3,0,25.6,19.4,22.5
7/25/2000,0,0,23.3,18.3,20.8
7/26/2000,82.3,0,20.6,17.2,18.9
