,Actuals,0
3717,20.55,18.484827
3718,20.3,17.58122
3719,16.95,18.047373
3720,16.9,15.381917
3721,8.9,16.1098
3722,10.55,9.6430025
3723,9.7,11.272195
3724,7.800000000000002,10.437734
3725,12.75,11.142316
3726,19.75,15.042204
3727,19.2,21.134558
3728,17.2,17.288319
3729,18.05,15.872413
3730,13.35,17.377724
3731,13.9,14.096885
3732,19.450000000000006,15.420218
3733,22.75,20.614414
3734,18.6,22.005999
3735,18.05,17.775743
3736,19.2,17.683533
3737,21.950000000000006,18.760904
3738,25.8,21.473152
3739,20.55,25.09061
3740,17.200000000000006,18.680614
3741,20.55,17.98971
3742,24.15,20.796236
3743,25.3,23.577887
3744,24.15,25.059278
3745,25.0,22.32984
3746,25.0,23.67428
3747,26.65,23.46758
3748,27.75,25.259031
3749,23.9,26.079737
3750,18.9,21.546339
3751,19.15,18.452013
3752,16.95,19.626627
3753,18.85,17.69555
3754,18.05,20.389708
3755,21.1,18.099262
3756,21.950000000000006,21.63322
3757,21.950000000000006,21.156466
3758,22.5,22.124159
3759,20.85,22.53964
3760,20.8,20.641676
3761,22.8,21.649004
3762,22.5,23.215471
3763,26.7,22.631857
3764,26.15,25.219263
3765,26.15,24.477018
3766,26.7,25.66753
3767,28.85,26.032076
3768,26.15,27.183641
3769,26.7,24.721231
3770,27.25,25.58302
3771,29.15,26.336569
3772,26.95,27.257948
3773,21.4,25.601145
3774,20.85,20.579638
3775,21.950000000000006,21.428986
3776,25.0,22.976946
3777,29.200000000000006,26.215303
3778,30.8,27.503126
3779,33.3,27.76948
3780,32.25,27.885347
3781,28.35,27.929167
3782,28.05,27.43316
3783,25.55,27.648901
3784,28.05,25.218145
3785,28.6,26.787184
3786,25.55,27.560467
3787,24.450000000000006,25.342329
3788,26.4,25.077848
3789,28.6,27.01653
3790,29.4,27.760485
3791,30.0,27.870192
3792,27.75,27.921316
3793,27.5,26.855944
3794,29.15,27.158316
3795,27.75,27.741392
3796,26.700000000000006,26.99325
3797,31.4,26.51975
3798,27.5,27.703722
3799,25.3,25.712736
3800,26.95,25.086203
3801,27.5,26.855318
3802,27.5,27.382603
3803,24.15,27.457333
3804,24.15,23.795425
3805,23.9,24.572401
3806,25.0,24.36851
3807,26.1,26.044317
3808,28.35,26.765226
3809,30.0,27.66284
3810,26.65,27.953838
3811,25.3,25.423395
3812,27.25,25.02239
3813,28.85,26.943518
3814,29.45,27.786934
3815,29.15,27.950132
3816,22.2,27.930174
3817,23.9,21.811363
3818,23.05,23.078953
3819,22.2,22.775244
3820,25.3,23.254198
3821,28.05,25.02426
3822,26.1,27.040892
3823,26.4,24.833004
3824,27.5,25.373766
3825,24.15,26.771282
3826,23.65,22.948349
3827,19.700000000000006,23.223434
3828,19.450000000000006,19.531069
3829,19.200000000000006,20.267797
3830,23.05,19.198648
3831,21.1,23.48733
3832,22.5,19.907354
3833,26.9,22.568258
3834,27.75,24.896936
3835,30.0,26.071667
3836,30.0,27.166601
3837,30.0,27.432093
3838,26.65,27.587172
3839,22.5,24.760794
3840,20.85,20.558577
3841,21.15,19.97788
3842,25.85,21.062464
3843,25.55,24.460546
3844,18.6,23.526457
3845,19.700000000000006,16.894384
3846,20.55,19.758604
3847,17.2,19.53495
3848,20.0,17.272242
3849,20.0,20.545431
3850,18.05,18.388687
3851,18.05,18.48673
3852,18.35,18.201801
3853,17.75,18.47842
3854,21.65,17.886642
3855,19.15,21.208342
3856,17.75,17.269432
3857,24.200000000000006,17.88256
3858,23.05,22.001326
3859,24.4,20.014818
3860,25.55,22.4079
3861,19.7,22.438349
3862,19.15,17.091959
3863,21.950000000000006,18.39548
3864,21.4,20.47154
3865,22.25,19.706474
3866,19.15,21.347506
3867,15.0,16.27366
3868,13.9,14.1365595
3869,11.95,13.851975
3870,13.9,12.876118
3871,15.0,15.59489
3872,16.7,15.252749
3873,17.5,16.428616
3874,17.2,16.454893
3875,14.2,15.523642
3876,18.9,13.249703
3877,16.4,17.768362
3878,13.35,13.8239
3879,13.6,12.410316
3880,11.65,13.102489
3881,12.2,11.559148
3882,14.75,12.801499
3883,12.8,14.964962
3884,11.65,12.164355
3885,11.65,11.111497
3886,13.05,10.317984
3887,9.75,12.025549
3888,12.25,9.071293
3889,15.85,12.736049
3890,17.75,14.929684
3891,19.7,15.583673
3892,21.1,16.491686
3893,18.3,16.586153
3894,11.1,13.432595
3895,9.75,8.397038
3896,10.0,9.245826
3897,6.1,9.158588
3898,6.1,5.7462626
